#,Name,Acceptance,Level,Frequency,Link
1506,Find Root of N-Ary Tree,78.20%,Medium,0,https://leetcode.com/problems/find-root-of-n-ary-tree
124,Binary Tree Maximum Path Sum,37.40%,Hard,91.6295,https://leetcode.com/problems/binary-tree-maximum-path-sum
297,Serialize and Deserialize Binary Tree,53.10%,Hard,90.4198,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
987,Vertical Order Traversal of a Binary Tree,41.00%,Hard,89.3353,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
2003,Smallest Missing Genetic Value in Each Subtree,41.70%,Hard,74.2104,https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree
428,Serialize and Deserialize N-ary Tree,64.00%,Hard,72.4064,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
1932,Merge BSTs to Create Single BST,34.90%,Hard,57.5826,https://leetcode.com/problems/merge-bsts-to-create-single-bst
272,Closest Binary Search Tree Value II,56.10%,Hard,54.8075,https://leetcode.com/problems/closest-binary-search-tree-value-ii
1569,Number of Ways to Reorder Array to Get Same BST,49.10%,Hard,49.3045,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst
968,Binary Tree Cameras,41.60%,Hard,44.019,https://leetcode.com/problems/binary-tree-cameras
834,Sum of Distances in Tree,52.70%,Hard,43.6944,https://leetcode.com/problems/sum-of-distances-in-tree
1373,Maximum Sum BST in Binary Tree,38.60%,Hard,40.7286,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree
1597,Build Binary Expression Tree From Infix Expression,59.40%,Hard,40.4725,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression
1483,Kth Ancestor of a Tree Node,33.30%,Hard,31.0365,https://leetcode.com/problems/kth-ancestor-of-a-tree-node
1377,Frog Position After T Seconds,36.20%,Hard,24.707,https://leetcode.com/problems/frog-position-after-t-seconds
1028,Recover a Tree From Preorder Traversal,72.20%,Hard,22.3024,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal
1766,Tree of Coprimes,38.00%,Hard,0,https://leetcode.com/problems/tree-of-coprimes
1719,Number Of Ways To Reconstruct A Tree,41.40%,Hard,0,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree
1916,Count Ways to Build Rooms in an Ant Colony,48.30%,Hard,0,https://leetcode.com/problems/count-ways-to-build-rooms-in-an-ant-colony
2005,Subtree Removal Game with Fibonacci Tree,63.30%,Hard,0,https://leetcode.com/problems/subtree-removal-game-with-fibonacci-tree
1516,Move Sub-Tree of N-Ary Tree,64.50%,Hard,0,https://leetcode.com/problems/move-sub-tree-of-n-ary-tree
1617,Count Subtrees With Max Distance Between Cities,65.10%,Hard,0,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities
431,Encode N-ary Tree to Binary Tree,76.10%,Hard,0,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
